"fam","gen","species"
"Moraceae","Ficus","Ficus pulchella"
"Myrtaceae","Blepharocalyx","Blepharocalyx salicifolius"
"Myrtaceae","Calyptranthes","Calyptranthes concinna"
"Myrtaceae","Eugenia","Eugenia neoglomerata"
"Myrtaceae","Eugenia","Eugenia stigmatosa"
"Myrtaceae","Eugenia","Eugenia sulcata"
"Myrtaceae","Eugenia","Eugenia umbelliflora"
"Myrtaceae","Marlierea","Marlierea racemosa"
"Myrtaceae","Myrceugenia","Myrceugenia myrcioides"
"Myrtaceae","Myrcia","Myrcia bicarinata"
"Myrtaceae","Myrcia","Myrcia brasiliensis"
"Myrtaceae","Myrcia","Myrcia glabra"
"Myrtaceae","Myrcia","Myrcia hebepetala"
"Myrtaceae","Myrcia","Myrcia ilheosensis"
"Myrtaceae","Myrcia","Myrcia insularis"
"Myrtaceae","Myrcia","Myrcia multiflora"
"Myrtaceae","Myrcia","Myrcia pubipetala"
"Myrtaceae","Myrcia","Myrcia pulchra"
"Myrtaceae","Myrcia","Myrcia racemosa"
"Myrtaceae","Myrcia","Myrcia sp_1"
"Myrtaceae","Myrcia","Myrcia splendens"
"Myrtaceae","Myrtaceae","Myrtaceae sp_1"
"Myrtaceae","Neomitranthes","Neomitranthes glomerata"
"Myrtaceae","Pimenta","Pimenta pseudocaryophyllus"
"Myrtaceae","Psidium","Psidium cattleyanum"
"Myrtaceae","Siphoneugena","Siphoneugena guilfoyleiana"
"Nyctaginaceae","Guapira","Guapira opposita"
"Nyctaginaceae","Guapira","Guapira sp_1"
"Ochnaceae","Ouratea","Ouratea parviflora"
"Olacaceae","Heisteria","Heisteria silvianii"
"Olacaceae","Ximenia","Ximenia americana"
"Oleaceae","Chionanthus","Chionanthus filiformis"
"Oleaceae","Chionanthus","Chionanthus sp_1"
"Pentaphylacaceae","Ternstroemia","Ternstroemia brasiliensis"
"Peraceae","Pera","Pera glabrata"
"Piperaceae","Piper","Piper arboreum"
"Podocarpaceae","Podocarpus","Podocarpus sellowii"
"Primulaceae","Cybianthus","Cybianthus brasiliensis"
"Primulaceae","Cybianthus","Cybianthus peruvianus"
"Primulaceae","Myrsine","Myrsine guianensis"
"Primulaceae","Myrsine","Myrsine umbellata"
"Primulaceae","Myrsine","Myrsine venosa"
"Rosaceae","Prunus","Prunus myrtifolia"
"Rubiaceae","Amaioua","Amaioua intermedia"
"Rubiaceae","Cordiera","Cordiera myrciifolia"
"Rubiaceae","Ixora","Ixora sp_1"
"Rubiaceae","Posoqueria","Posoqueria latifolia"
"Rubiaceae","Psychotria","Psychotria hastisepala"
"Rubiaceae","Psychotria","Psychotria hoffmannseggiana"
"Rubiaceae","Psychotria","Psychotria mapourioides"
"Rubiaceae","Rudgea","Rudgea villiflora"
"Sapindaceae","Matayba","Matayba guianensis"
"Sapotaceae","Ecclinusa","Ecclinusa ramiflora"
"Sapotaceae","Manilkara","Manilkara subsericea"
"Sapotaceae","Pouteria","Pouteria beaurepairei"
"Solanaceae","Brunfelsia","Brunfelsia pilosa"
"Solanaceae","Solanum","Solanum cinnamomeum"
"Styracaceae","Styrax","Styrax glabratus"
"Symplocaceae","Symplocos","Symplocos laxiflora"
"Theaceae","Laplacea","Laplacea fruticosa"
"Thymelaeaceae","Daphnopsis","Daphnopsis racemosa"
"Urticaceae","Cecropia","Cecropia pachystachya"
"Urticaceae","Coussapoa","Coussapoa microcarpa"
"Vochysiaceae","Vochysia","Vochysia bifalcata"
