"subq","tags"
"A08quad_5x10","1385 1387 52622 52673 52675 52679 79619 79620 79621 79636 79638"
"A08quad_5x15","1369 1371 1373 1379 1381 52659 52660 52661 52663 52664 52668 52669 52670 52687 79637"
"A08quad_5x5","1351 52623 52624 52625 79612"
"A09quad_0x0","1497 1503 52747 52748 52749 52750 52751 52752 79663 79664 79665 79666 79667 79668 82500"
"A09quad_0x10","1523 52777 52778 79692 79693 79694 79695 79696"
"A09quad_0x15","52785 52786 52787 52792 52793 52794 52797 79816 79817 79818 79819 79821 79822"
"A09quad_0x5","1513 52755 52756 52757 52760 52761 79687 79688 79689 79690 79691"
"A09quad_10x0","1464 52845 79674 79675 82499"
"A09quad_10x10","52819 52820 52823 52824 79699 79700 79801"
"A09quad_10x15","1478 1488 52826 52828 79809"
"A09quad_10x5","52850 79678 79680"
"A09quad_15x0","50815 52859 52860 52862 52863 52866 79676 79677"
"A09quad_15x10","1482 1506 52836 52837 52838 52839 52840 52854 79802 79803"
"A09quad_15x15","52829 52830 52831 52832 79804 79805 79806 79807 79808"
"A09quad_15x5","50816 52856 79679"
"A09quad_5x0","52770 52772 52773 52774 52775 52848 79669 79670 79671 79672"
"A09quad_5x10","1535 1537 1539 52781 52805 52812 52813 52814 52817 79697 79698"
"A09quad_5x15","52799 52802 52803 52806 52807 52810 79810 79811 79812 79813 79814 79815"
"A09quad_5x5","1505 1543 1545 52758 52763 52765 52766 52768 52815 52816 79681 79682 79683 79684 79685 79686"
"A10quad_0x0","52867 52868 52870 52871 52872 52875 52876 79823 79824 79825 79826 79827"
"A10quad_0x10","1645 1655 52887 52911 52912 52913 52915 52917 52918 79850 79851 79852 79853 79854"
"A10quad_0x15","1657 52919 52923 52925 80009 80010 80011 82461"
"A10quad_0x5","1637 52877 52878 52880 52881 52885 79846 79847 79848 79849 79869"
"A10quad_10x0","1632 1640 52951 79831 79832 79833 79834"
"A10quad_10x10","1648 52933 52934 52935 52938 79860 79863 79867"
"A10quad_10x15","52940 52942 52943 80001 80002 80003 80006"
"A10quad_10x5","1626 1628 1642 1644 52953 52954 52955 52956 52957 79839 79840 79841"
"A10quad_15x0","52967 52969 52971 79835 79836"
"A10quad_15x10","1646 21731 52932 52947 52948 79862 79864 79866 79868"
"A10quad_15x15","1666 52941 52946 79820 79865"
"A10quad_15x5","1678 52962 79837 79838"
"A10quad_5x0","52904 52905 52906 52907 79828 79829 79830"
"A10quad_5x10","1679 52927 52928 52929 52931 79855 79856 79857 79858 79859 79861"
"A10quad_5x15","1675 1683 52926 80004 80005"
"A10quad_5x5","52889 52891 52893 52894 52895 52897 52901 52902 79842 79843 79844 79845"
"A11quad_0x0","1779 1873 52973 52974 52975 52978 80007 80008 80012 80013"
"A11quad_0x10","1805 1809 1811 1817 53004 53005 53006 53007 53010 53011 53012 53015"
"A11quad_0x15","1819 53016 53017 53018 53019 53020 80128 80133"
"A11quad_0x5","1781 1787 1791 1795 1799 52979 52981 52983 52984 52985 59980"
"A11quad_10x0","1740 53091 80018 80019 80020"
"A11quad_10x10","1762 1766 1841 1848 53029 53034 53037 53038 53039 53041 53042 80048 80049 80050 82463"
"A11quad_10x15","53045 53046 53047 53050 80125 80126 80134 80135 80141 80142 80143"
"A11quad_10x5","1754 1756 1758 53092 53093 80035 80036 80037 80038 80039 80040 80041 80042 80043"
"A11quad_15x0","1812 53112 53113 53114 53116 80021 80023 80024 80025"
"A11quad_15x10","53035 53058 53059 53060 53066 53070 53072 53073 53076 53078 53081 53084 53087 53089 53099 80034 80051 80052 80053 80137 80140"
"A11quad_15x15","1786 53052 53056 53061 53063 80138 80139 80144"
"A11quad_15x5","1804 53074 53096 53103 53104 53105 53109 80026 80027 80028 80029 80030 80031 80032 80033"
"A11quad_5x0","1853 1861 1863 1871 52994 52995 52999 80014 80015 80016 80017"
"A11quad_5x10","1823 1831 1835 1837 1839 1849 52992 53000 53022 53023 53030 80022 80046 80047"
"A11quad_5x15","1825 1829 53021 53025 53026 80136"
"A11quad_5x5","1797 52982 52987 52988 52996 80044 80045"
"A12quad_0x0","1965 53120 53128 53129 53132 53137 80111 80112 80121 80123 80124 80129 80130 80131 80132 80155 80162 80169"
"A12quad_0x10","1985 53164 53166 53167 53169 53170 53172 80174 80175 80177 80178 80179 8176"
"A12quad_0x15","1999 2001 2003 2005 2007 53174 53176 53177 53180 80171 80172 80173"
"A12quad_0x5","1966 1971 1981 2031 53138 53139 53140 53141 53144 53145 80102 80103 80104 80105 80106"
"A12quad_10x0","1774 1890 53162 53213 53215 53217 80109 80120 80152 80154 80156 80160 80165 80168"
"A12quad_10x10","53190 53191 53192 53194 53196 53224 53225 80186 80187 80188 80189 80190"
"A12quad_10x15","53197 53198 80157 80158 80159"
"A12quad_10x5","53219 53221 53222 53223 80110 80199"
"A12quad_15x0","1952 53233 80101 80161 80170"
"A12quad_15x10","1942 53203 53209 53210 80192 80193 80194 80195 80196 80197 80198"
"A12quad_15x15","1934 53200 53201 53204 53205 80150 80151 80153 80364 80636"
"A12quad_15x5","1912 53227 53229 53230 80118"
"A12quad_5x0","2043 2049 53118 53119 53122 53125 53126 53127 53159 80122 80145 80146 80147 80164 80166 80167"
"A12quad_5x10","53186 53187 80180 80181 80182 80183 80184 80185"
"A12quad_5x15","53181 53182 53185"
"A12quad_5x5","2037 53147 53148 53149 53151 53152 53153 53154 80107 80113 80114 80115 80116 80117"
"A13quad_0x0","53237"
"A13quad_0x10","2173 53257 80316 80317 80318 80319"
"A13quad_0x15","2175 2191 53259 80348 80349 80350 80351 80352"
"A13quad_0x5","80312 80313 80314"
"A13quad_10x0","2064 53298 80569 80594 80595 80599 80600"
"A13quad_10x10","2092 53268 53269 53270 53271 53272 53274 53306 80320 80321 80323 80324 80325 8322"
"A13quad_10x15","2104 2106 53275 53276 80343 80344"
"A13quad_10x5","53296 53299 53302 53304 53305 80309 80597"
"A13quad_15x0","53312 53314 53315 53316 80301 80302 80592 80593 80598"
"A13quad_15x10","2124 2126 53286 53288 53289 80326 80327 80328 80329 80330 80331 80332 80333 80334 80335"
"A13quad_15x15","2108 2114 2116 2118 2122 53279 53280 53281 53282 53283 80336 80337 80338 80339 80340 80342"
"A13quad_15x5","2132 53308 80304 80306 80307 82498"
"A13quad_5x0","2221 2223 2225 2229 2231 53183 53184 53252 53253 80585 80596"
"A13quad_5x10","53250 80305"
"A13quad_5x15","2203 2205 53261 53264 80345 80346 80347"
"A13quad_5x5","53248 53249 80310 80311"
"A14quad_0x0","53320 53322 80353 80354"
"A14quad_0x10","2299 2309 53333 53338 53339 80398 80400"
"A14quad_0x15","2323 53335 80399 81355 81356 81357"
"A14quad_0x5","2291 53324 53326 80377 80378"
"A14quad_10x0","2228 53369 53370 53371 53372 53373 53374 53377 53379 80356 80361"
"A14quad_10x10","2256 53347 53348 53350 53387 80388 80389 80390 80392 80393"
"A14quad_10x15","53353 53354 81348 81349 81350 81351 81352 84347"
"A14quad_10x5","53378 53381 53383 80381 80382"
"A14quad_15x0","2316 2359 53397 53398 53400 80362 80365 80366 80367 80368 80369 80370 80371"
"A14quad_15x10","2266 2268 53362 53388 55201 80383 80384 80385 80386 80387"
"A14quad_15x15","53356 53359 53360 53361 81346"
"A14quad_15x5","2302 53385 53391 53393 80372 80373 80374 80375 80376"
"A14quad_5x0","2349 53329 53330 80355 80358 80359 80360"
"A14quad_5x10","2333 80395 80396"
"A14quad_5x15","2329 2331 53342 53343 53344 81353 81354"
"A14quad_5x5","2345 2347 80379 80380 80397"
"A15quad_0x0","2429 53405 53407 81301 81302 81303 81304"
"A15quad_0x10","53427 53428 53429 53431 53432 81332 81333 81334 81335 81336 81337 81338 81339"
"A15quad_0x15","53437 53441 53444 80525 80526 80527 80528"
"A15quad_0x5","2439 2461 53409 53410 53412 53413 53414 53416 53418 81328 81329 81331 82497"
"A15quad_10x0","53503 81310 81311 81312 81313"
"A15quad_10x10","2404 50456 53457 53464 53468 81341 81342 81343 81344"
"A15quad_10x15","53470 53471 53472 53473 53476 53478 53480 80516 80517"
"A15quad_10x5","53502 81325 81326"
"A15quad_15x0","53513 53516 81314 81315 81316 81317 81318"
"A15quad_15x10","53460 53463 53485 53494 80502 80503 80504 80505 80506 81345"
"A15quad_15x15","43466 50824 53474 53475 53481 53482 53484 53491 53492 80507 80508 80509 80510 80511 80512 80513 80514 82496"
"A15quad_15x5","53500 53509 53510 53511 53512 55279 81319 81320 81321 81322 81323 81324"
"A15quad_5x0","53423 53504 81305 81306 81307 81308 81309"
"A15quad_5x10","53455 53459 81340"
"A15quad_5x15","53445 53447 53448 53449 53450 53452 80518 80519 80520 80521 80522 80523 80524"
"A15quad_5x5","2457 53421 81327"
"B00quad_0x0","52481 52482 52497 81531 81532 81550"
"B00quad_0x10","105 52500 77 81612 81613 81614 81615 81616 82 82495 83 84"
"B00quad_0x15","103 104 52501 52507 52508 52509 81636 81637 81639 81640 81641 81642 81643 81644"
"B00quad_0x5","52483 52484 52485 81618 81619 81620"
"B00quad_10x0","52493 81533"
"B00quad_10x10","185874 52555 52578 81551 81552 81553 81554 81555 81556 81601 81603 81604 81605 81606 81607 81608"
"B00quad_10x15","52511 52512 52523 52535 52556 52557 52558 81571 81572 81573 81626 81627"
"B00quad_10x5","52490 52574 81541 81544 81545 81546 81547 81548 81549 81624 81625"
"B00quad_15x0","52567 52568 52569 52570 52590 52594 81534 81535 81536"
"B00quad_15x10","52545 81557 81558 81559 81560 81561 81562 81563 81564"
"B00quad_15x15","52536 52541 81566 81567 81568 81569 82494"
"B00quad_15x5","52587 54486 81538 81539 81540 81542 81543"
"B00quad_5x0","50459 52494"
"B00quad_5x10","50835 52517 52518 52519 52520 52521 73 74 81609 81610 81617"
"B00quad_5x15","52513 52515 52516 81628 81629 81630 81631 81632 81633 81634 81635 85"
"B00quad_5x5","52487 52488 52491 81621 81622 81623"
"B01quad_0x0","190 193 52597 80634 80646 82492 82493"
"B01quad_0x10","227 228 51622"
"B01quad_0x15","229 50458 80745"
"B01quad_0x5","52598 80731 80732"
"B01quad_10x0","53601 80644 80701 80702 80703 80704 80705 80706 80707 80708 80709 80710 80728"
"B01quad_10x10","53621 53622 53623 53637 80737 80738"
"B01quad_10x15","196 197 53625 80742"
"B01quad_10x5","218 80729 80730 82490 82491"
"B01quad_15x0","180 183 52526 80711 80712 80713 80714 80715 80716 80717 80718 80719 80725"
"B01quad_15x10","212 213 214 53620 53638 80739 80740"
"B01quad_15x15","200 53628 53631 80741"
"B01quad_15x5","53635 53642 53643 80720 80721 80722 80723 80724 80726 80727"
"B01quad_5x0","80642 80643 80647 80648"
"B01quad_5x10","219 221 53618 80734 80735 80736"
"B01quad_5x15","230 231 2482 53609 53613 53617 80743"
"B01quad_5x5","186 187 189 216 223 52599"
"B02quad_0x0","2563 2617 53646 53647 53648 53649 53684 53685 80442 80443 80444 80445 80446 80447 80448"
"B02quad_0x10","2583 2585 2605 53687 80265 80276"
"B02quad_0x15","50826 53688 53690 53691 53694 80284 80286 80287 80294"
"B02quad_0x5","2575 53656 53657 53658 53659 53661 53665 80262 80263 80264"
"B02quad_10x0","53732 53736 53737 80251 80252 80253"
"B02quad_10x10","2504 53719 53721 53722 53723 53725 53726 80270"
"B02quad_10x15","2518 53718 80281"
"B02quad_10x5","2500 53739 53740 80255"
"B02quad_15x0","2534 2538 53729 53730 53759 80254"
"B02quad_15x10","2512 53710 53713 53714 53715 80272 80273 80274 80275 80277 80278"
"B02quad_15x15","53703 53704 53705 53706 53707 53709 80279 80280"
"B02quad_15x5","2508 53743 53746 80256"
"B02quad_5x0","2484 2488 2613 53669 53671 53672 53676 53677 53679 80449"
"B02quad_5x10","2601 53702 53724 80267 80268 80269"
"B02quad_5x15","2595 53696 53697 53698 53699 53701 80282 80283"
"B02quad_5x5","2611 53662 53663 53664 53666 53667 80257 80258 80259 80260 80261"
"B03quad_0x0","529 533 53693 537 53765 541 80401 80402 80403 80404 80405 80406 80407"
"B03quad_0x10","53776 53777 53778 80428"
"B03quad_0x15","53780 663 80439 80440"
"B03quad_0x5","80425 80426 80427"
"B03quad_10x0","53824 53825 53826 53828 53829 53830 53831 53832 53835 80412"
"B03quad_10x10","53817 53818 53820 625 80431"
"B03quad_10x15","53798 53821 53822 611 621 80436"
"B03quad_10x5","53833 53834 53837 53842 573 575 80418 80419 80420"
"B03quad_15x0","53853 53854 53855 53856 585 80411 80413 80414 80415"
"B03quad_15x10","53816 587 607 80432 80433"
"B03quad_15x15","53799 53800 53802 53804 53806 53807 53808 53809 595 601 613 80434 80435"
"B03quad_15x5","53839 53841 53844 53845 53846 53847 53848 53849 80416 80417"
"B03quad_5x0","53768 53770 53771 53772 53774 53775 557 559 561 80408 80409 80410"
"B03quad_5x10","53791 53792 641 80429 80430"
"B03quad_5x15","53783 53784 53785 53787 53789 53790 635 639 80438"
"B03quad_5x5","53767 53769 53797 80422 80423 80424"
"B04quad_0x0","53857 53858 53859 704 743 745 747 749 753 80077 80246 80247 80248 80249"
"B04quad_0x10","53864 53878 53891 80088 80089"
"B04quad_0x15","53879 779 785 789 80097 80098 80099 80100"
"B04quad_0x5","708 769 771 80085 80086 80087"
"B04quad_10x0","53908 53910 768 770 80250"
"B04quad_10x10","53901 53902 80091"
"B04quad_10x15","53892 53893 53894 53895 800 804 805"
"B04quad_10x5","53852 53911 53912 53913 53914 53919 778 788 823"
"B04quad_15x0","53803 53905 53906 53930 5621 80079 80080 822"
"B04quad_15x10","53896 53898 53899 53900 796 80092 810"
"B04quad_15x15","53897 53903 80093 806"
"B04quad_15x5","53915 53920 53921 53922 53924 53925 53928 80081 80082 826"
"B04quad_5x0","53786 53874 53875 53876 82487 82488 835 837 839"
"B04quad_5x10","53867 53887 53888 53889 53890 80090 813 815 817"
"B04quad_5x15","53882 53883 793 797 80095 80096"
"B04quad_5x5","53865 53868 53869 53870 53871 80083 80084"
"B05quad_0x0","53954 53955 919 921"
"B05quad_0x10","52306 80230 80231 939 943 945"
"B05quad_0x15","53962 53963 80245 959"
"B05quad_0x5","50470 53933 53934 53937 53940 80228 80229 927 933 935 937"
"B05quad_10x0","53992 53999 54001 80221"
"B05quad_10x10","80235 80236 80237 922"
"B05quad_10x15","53986 80244"
"B05quad_10x5","80226"
"B05quad_15x0","154007 53989 53993 53994 53995 53996 53998 80222 80223"
"B05quad_15x10","53982 80238 80239 80240 956 958 964"
"B05quad_15x15","53979 80241 80242 80243 938 950"
"B05quad_15x5","54004 5705 5711 5713 80224 80225 968"
"B05quad_5x0","1001 53948 53950 80220 912 925 991 993 995"
"B05quad_5x10","53972 53973 80232 80233 80234 975 977"
"B05quad_5x15","53967 53971 961 965 967 969 971 973"
"B05quad_5x5","53939 53945 53946 53974 80227 931 987"
"B06quad_0x0","1083 1085 1087 1089 1093 54007 54008 54014 54026 79644 79645"
"B06quad_0x10","1113 1115 54029 54032 79453 79454 79455"
"B06quad_0x15","1121 1125 54035 54036 54037 79461"
"B06quad_0x5","1097 1099 1101 1105 1109 54013 54015 54016 79452"
"B06quad_10x0","1054 1151 54088 54089 54091 54092 54093 79647 79648 79649 79650 79652 79654 79657"
"B06quad_10x10","1076 54079 54080 54081 54083 54084 79459"
"B06quad_10x15","1078 1082 1084 1086 1108 54067 54069"
"B06quad_10x5","1064 1066 1147 54098 54100 54102 79493 79494 79495 79496 79497 79498 79499"
"B06quad_15x0","1068 54108 54109 54112 54113 79656"
"B06quad_15x10","1114 1116 1118 1120 54074 79457 79460"
"B06quad_15x15","82486"
"B06quad_15x5","54075 54103 54104 54105 54106 79500 79651"
"B06quad_5x0","1149 1153 54022 54023 79646"
"B06quad_5x10","1139 54058 54059 79458"
"B06quad_5x15","54041 54044 54045 54047 54057 79462 79463 79464 79466 79467 79468 82485 8888"
"B06quad_5x5","1145 54017 54021 79451"
"B07quad_0x0","54114 54115 54116 54150 54152 54153 79469 79470 79471 79472 79473 79474 79475 79476 79477"
"B07quad_0x10","1269 54154 54155 54156 54188 54190 54191 54192 54194 79423 79426 79427 79701"
"B07quad_0x15","1273 1277 54159 54161 54162 54165 54170 57720"
"B07quad_0x5","1247 1249 54117 54118 54119 54120 54122 54124 79416 79417 79418 79419 79420 79421 79422"
"B07quad_10x0","1224 1298 54255 54256 54257 54258 79450 79482 79488 79489 79490 79492"
"B07quad_10x10","1254 1258 1262 54230 54231 54235 54237 54239 54240 54241 54242 54243 54244 54245 54246 54247 79432 79433 79434 79435 79436"
"B07quad_10x15","1260 192542 54197 54199 54200 54201 54202 54248 54249 79441 79444 79446 79702"
"B07quad_10x5","1228 1232 1246 54262 54264 54268 79404 79405 79406 79407 79408 79409 79410"
"B07quad_15x0","54275 54276 79401 79402 79403 79491"
"B07quad_15x10","1284 1290 54211 54213 54214 54215 54216 54217 54218 54219 54220 54221 54222 54224 54225 54226 54228 79437 79438 79439 79440 79442 79443 79445"
"B07quad_15x15","1276 54203 54207 54208 54209 79448 79449"
"B07quad_15x5","1292 1308 54270 54271 54272"
"B07quad_5x0","1222 1319 54134 54140 54141 54143 54144 54145 54146 79478 79479 79480 79481 79483 79484 79485 79486 79487"
"B07quad_5x10","1252 1256 1295 1297 1299 1303 192540 192541 54179 54180 54182 54183 54184 54185 79428 79430 79431"
"B07quad_5x15","1289 1291 1293 54173 54174 54175 54178 79703 79704 79705 79706"
"B07quad_5x5","1311 1313 54129 54131 54132 54133 54135 54136 54137 54187 79411 79412 79413 79414 79415"
"B08quad_0x0","1405 1407 1409 1411 1413 1415 1417 1421 1425 54280 54283 54284 54305 79707 79708 79709"
"B08quad_0x10","54309 79738 79739 79740 79741 79742"
"B08quad_0x15","54310 54311 54312 54313 79874 79885 79888"
"B08quad_0x5","1427 1429 1439 1489 54286 54289 79736 79737"
"B08quad_10x0","1396 1452 54363 54364 54365 54366 79712 79716 79717 79718"
"B08quad_10x10","1404 1406 1414 79746 79747"
"B08quad_10x15","1426 54331 54332 54333 54334 54358 54359 79889 79894 79895 79896"
"B08quad_10x5","1398 54372 54381 54382 79728 79729 79730 79731"
"B08quad_15x0","1454 54360 54395 79719 79720 79721 79722"
