label::Português (pt-BR)	Português	label::English (en)	label::Español (es)		hint::Português (pt-BR)	hint::English (en)	hint::Español (es)
**Menor (<)** número de placa nova, excluíndo o ‘25’ inicial (<span style=”color:red”> ${tag_dig} dígitos</span>):	**Menor (<)** número de placa nova, excluíndo o '25' inicial (<span style="color:red"> ${tag_dig} dígitos</span>):	**Lower (<)** new tag number, excluding the initial '25' (<span style="color:red"> ${tag_dig} digits</span>):	**Menor (<)** número de placa nueva, excluyendo el '25' inicial (<span style="color:red"> ${tag_dig} dígitos</span>):		### Na parcela Carlos Botelho (PPECB) o valor mínimo é  0.000		
**Maior (>)** número de placa nova, excluíndo o ‘25’ inicial (<span style=”color:red”> ${tag_dig} dígitos</span>):	**Maior (>)** número de placa nova, excluíndo o '25' inicial (<span style="color:red"> ${tag_dig} dígitos</span>):	**Higher (>)** new tag number, excluding the initial '25' (<span style="color:red"> ${tag_dig} digits</span>):	**Mayor (>)** número de placa nueva, excluyendo el '25' inicial (<span style="color:red"> ${tag_dig} dígitos</span>):		### Na parcela Carlos Botelho (PPECB) o valor mínimo é  2.750		
**Menor (<)** número de placa nova, excluíndo o ‘25’ inicial (<span style=”color:red”> ${tag_dig} dígitos</span>):	**Menor (<)** número de placa nova, excluíndo o '25' inicial (<span style="color:red"> ${tag_dig} dígitos</span>):	**Lower (<)** new tag number, excluding the initial '25' (<span style="color:red"> ${tag_dig} digits</span>):	**Menor (<)** número de placa nueva, excluyendo el '25' inicial (<span style="color:red"> ${tag_dig} dígitos</span>):		### Deve entrar o número de dígitos definidos, mesmo que sejam zeros a esquerda		
**Maior (>)** número de placa nova, excluíndo o ‘25’ inicial (<span style=”color:red”> ${tag_dig} dígitos</span>):	**Maior (>)** número de placa nova, excluíndo o '25' inicial (<span style="color:red"> ${tag_dig} dígitos</span>):	**Higher (>)** new tag number, excluding the initial '25' (<span style="color:red"> ${tag_dig} digits</span>):	**Mayor (>)** número de placa nueva, excluyendo el '25' inicial (<span style="color:red"> ${tag_dig} dígitos</span>):		### Deve entrar o número de dígitos definidos, mesmo que sejam zeros a esquerda		
							
							
## As placas novas vão de 25 ${tag_min} até 25 ${tag_max}	## As placas novas vão de 25 ${tag_min} até 25 ${tag_max}	## New tags range from 25 ${tag_min} to 25 ${tag_max}	## Las placas nuevas van de 25 ${tag_min} hasta 25 ${tag_max}				
### Qual a unidade de trabalho em campo?	### Qual a unidade de trabalho em campo?	### What is the field work unit?	### ¿Cuál es la unidad de trabajo en campo?		Tamanho da subparcela de trabalho, na escala que estão os mapas.		
### Diâmetro limite de inclusão: <span style=”color:red”> ${min_dbh}</span> mm	### Diâmetro limite de inclusão: <span style="color:red"> ${min_dbh}</span> mm	### Minimum inclusion diameter: <span style="color:red"> ${min_dbh}</span> mm	### Diámetro límite de inclusión: <span style="color:red"> ${min_dbh}</span> mm				
							
							
###Equipe	###Equipe	###Team	###Equipo				
Equipe nomes	Equipe nomes	Team names	Nombres del equipo				
Nome não cadastrado 1:	Nome não cadastrado 1:	Unregistered name 1:	Nombre no registrado 1:				
Nome não cadastrado 2:	Nome não cadastrado 2:	Unregistered name 2:	Nombre no registrado 2:				
Responsável pela Equipe	Responsável pela Equipe	Team responsible	Responsable del equipo				
							
							
Parcela	Parcela	Plot	Parcela				
Coluna da parcela	Coluna da parcela	Plot column	Columna de la parcela				
Linha da parcela	Linha da parcela	Plot row	Fila de la parcela				
							
Condição do piquete	Condição do piquete	Stake condition	Condición de la estaca				
Observações sobre o quadrat:	Observações sobre o quadrat:	Observations about the quadrat:	Observaciones sobre el cuadrante:				
							
							
Subquadrado da Parcela ${quadrat} de tamanho ${work_size}	Subquadrado da Parcela ${quadrat} de tamanho ${work_size}	Subplot ${quadrat} of size ${work_size}	Subcuadrante de la Parcela ${quadrat} de tamaño ${work_size}				
							
### Selecione a subparcela da parcela ${quadrat} 	### Selecione a subparcela da parcela ${quadrat} 	### Select the subplot of plot ${quadrat} 	### Seleccione la subparcela de la parcela ${quadrat} 		### Já selecionados (<span style=”color:red”> ${so_sub}</span>)		
### Selecione a subparcela da parcela ${quadrat} 	### Selecione a subparcela da parcela ${quadrat} 	### Select the subplot of plot ${quadrat} 	### Seleccione la subparcela de la parcela ${quadrat} 		### Já selecionados (<span style=”color:red”> ${so_sub}</span>)		
subquad selecionado	subquad selecionado	Selected subquad	Subcuadrante seleccionado				
							
							
							
							
							
							
							
Árvore 	Árvore 	Tree 	Árbol 		 <span style=”color:red”> ${num_tag}</span>		
							
							
Tipo de árvore	Tipo de árvore	Tree type	Tipo de árbol				
### Selecione uma das opções de tipo de árvore (subquadrat <span style=”color:red”>${sel_subquad}</span>)	### Selecione uma das opções de tipo de árvore (subquadrat <span style="color:red">${sel_subquad}</span>)	### Select one of the tree type options (subquadrat <span style="color:red">${sel_subquad}</span>)	### Seleccione una de las opciones de tipo de árbol (subcuadrante <span style="color:red">${sel_subquad}</span>)				
### Vai identificar ou coletar o recruta agora?	### Vai identificar ou coletar o recruta agora?	### Will you identify or collect the recruit now?	### ¿Va a identificar o recolectar el recluta ahora?				
							
							
							
							
							
							
### Selecione a árvore no mapa 	### Selecione a árvore no mapa 	### Select the tree on the map 	### Seleccione el árbol en el mapa 		#### Selecione, caso possível, uma árvore ainda não selecionada (placas já selecionadas: <span style=”color:red”>${so_far} </span>)		
							
							
							
							
							
							
## Árvore ${tree_tag_map}: <span style=”color:red”>${map_sp} </span>; dap =  <span style=”color:red”>${map_dap}</span> mm; altura = <span style=”color:red”>${map_alt} </span> m.	## Árvore ${tree_tag_map}: <span style="color:red">${map_sp} </span>; dap =  <span style="color:red">${map_dap}</span> mm; altura = <span style="color:red">${map_alt} </span> m.	## Tree ${tree_tag_map}: <span style="color:red">${map_sp} </span>; dbh =  <span style="color:red">${map_dap}</span> mm; height = <span style="color:red">${map_alt} </span> m.	## Árbol ${tree_tag_map}: <span style="color:red">${map_sp} </span>; dap =  <span style="color:red">${map_dap}</span> mm; altura = <span style="color:red">${map_alt} </span> m.				
## Árvore já selecionada anteriormente ( já anotadas: <span style=”color:red”>${tag_selected} </span>)	## Árvore já selecionada anteriormente ( já anotadas: <span style="color:red">${tag_selected} </span>)	## Tree previously selected (already recorded: <span style="color:red">${tag_selected} </span>)	## Árbol ya seleccionado anteriormente (ya anotadas: <span style="color:red">${tag_selected} </span>)				
							
							
							
Selecione tag 	Selecione tag 	Select tag 	Seleccione placa 				
### Selecione o número da placa entre as existentes na ${sel_subquad}. A placa selecionada no mapa foi: ${tree_tag_map} 	### Selecione o número da placa entre as existentes na ${sel_subquad}. A placa selecionada no mapa foi: ${tree_tag_map} 	### Select the tag number among existing ones in ${sel_subquad}. The tag selected on the map was: ${tree_tag_map} 	### Seleccione el número de placa entre las existentes en ${sel_subquad}. La placa seleccionada en el mapa fue: ${tree_tag_map} 		#### Árvores já anotadas: (<span style=”color:red”> ${so_far}</span>). Caso não encontre na lista, siga sem selecionar.		
### Selecione o número da placa entre as existentes em (${plot_name}) 	### Selecione o número da placa entre as existentes em (${plot_name}) 	### Select the tag number among existing ones in (${plot_name}) 	### Seleccione el número de placa entre las existentes en (${plot_name}) 		#### Árvores já anotadas: (<span style=”color:red”> ${so_far}</span>). Caso não encontre na lista, siga em frente sem selecionar.		
Número da placa antiga	Número da placa antiga	Old tag number	Número de placa antigua		Número não consta na lista de placas do censo anterior, mas é placa antiga. Árvores já anotadas: (<span style=”color:red”> ${so_far}</span>) 		
A placa está em boas condições?	A placa está em boas condições?	Is the tag in good condition?	¿La placa está en buenas condiciones?		A placa está legível e bem fixada (Não será trocada).		
							
							
Árvore morta	Árvore morta	Dead tree	Árbol muerto				
Indique o tipo de evidência de morte	Indique o tipo de evidência de morte	Indicate the type of death evidence	Indique el tipo de evidencia de muerte				
Observações sobre a árvore morta:	Observações sobre a árvore morta:	Observations about the dead tree:	Observaciones sobre el árbol muerto:				
Foto do indivíduo morto ou evidência	Foto do indivíduo morto ou evidência	Photo of dead individual or evidence	Foto del individuo muerto o evidencia		Tire uma foto da árvore morta, se possível mostrando o número da placa.		
							
							
Árvore recenso	Árvore recenso	Recensus tree	Árbol de recenso		Árvore plaqueada em outro censo		
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
### Confirme o mapeamento:	### Confirme o mapeamento:	### Confirm mapping:	### Confirme el mapeo:		## Coordenas na parcela ${quadrat}: x = ${old_dx}  e y = ${old_dy}		
							
							
### Dados da árvore selecionada no mapa	### Dados da árvore selecionada no mapa	### Data of the tree selected on the map	### Datos del árbol seleccionado en el mapa				
### Placa no. <span style=”color:red”>${tree_tag} </span>	### Placa no. <span style="color:red">${tree_tag} </span>	### Tag no. <span style="color:red">${tree_tag} </span>	### Placa no. <span style="color:red">${tree_tag} </span>				
### Altura (m):  <span style=”color:red”> ${old_alt}</span>	### Altura (m):  <span style="color:red"> ${old_alt}</span>	### Height (m):  <span style="color:red"> ${old_alt}</span>	### Altura (m):  <span style="color:red"> ${old_alt}</span>				
### DAP (mm): <span style=”color:red”>${old_dap} </span>	### DAP (mm): <span style="color:red">${old_dap} </span>	### DBH (mm): <span style="color:red">${old_dap} </span>	### DAP (mm): <span style="color:red">${old_dap} </span>				
### Posição: <span style=”color:red”>${old_xy} </span>	### Posição: <span style="color:red">${old_xy} </span>	### Position: <span style="color:red">${old_xy} </span>	### Posición: <span style="color:red">${old_xy} </span>				
### Identificação: <span style=”color:red”>${old_sp} </span> (${old_fam})	### Identificação: <span style="color:red">${old_sp} </span> (${old_fam})	### Identification: <span style="color:red">${old_sp} </span> (${old_fam})	### Identificación: <span style="color:red">${old_sp} </span> (${old_fam})				
### Qual o grau de confiança na atribuição do número da placa perdida ou ilegível?	### Qual o grau de confiança na atribuição do número da placa perdida ou ilegível?	### What is the confidence level in assigning the number of the lost or illegible tag?	### ¿Cuál es el grado de confianza en la asignación del número de la placa perdida o ilegible?		0 nenhuma, 1 total		
							
							
Dados censo atual (${tree_type})	Dados censo atual (${tree_type})	Current census data (${tree_type})	Datos del censo actual (${tree_type})				
### Árvore placa antiga no. ${tree_tag} ${tree_tag_seminfo}	### Árvore placa antiga no. ${tree_tag} ${tree_tag_seminfo}	### Old tag tree no. ${tree_tag} ${tree_tag_seminfo}	### Árbol placa antigua no. ${tree_tag} ${tree_tag_seminfo}				
							
## Número da placa nova sem o valor do ano (${tag_dig} dígitos)	## Número da placa nova sem o valor do ano (${tag_dig} dígitos)	## New tag number without the year value (${tag_dig} digits)	## Número de placa nueva sin el valor del año (${tag_dig} dígitos)		### Número de placas novas já anotadas (<span style=”color:red”>${newtag_so_far}</span>)		
							
							
Foto da nova placa	Foto da nova placa	Photo of new tag	Foto de la placa nueva		Tire uma foto da placa junto ao tronco da árvore, se possível junto a placa antiga.		
							
							
							
							
							
Medida de DAP	Medida de DAP	DBH measurement	Medida de DAP				
### Anote o dap ou pap conforme o tipo de medida. 	### Anote o dap ou pap conforme o tipo de medida. 	### Record dbh or pbh according to measurement type. 	### Anote el dap o pap según el tipo de medida.		### Dap do fuste principal no censo anterior: ${old_dap} mm		
### Anote se a altura da medida de dap for diferente de 1,3m 	### Anote se a altura da medida de dap for diferente de 1,3m 	### Note if the dbh measurement height is different from 1.3m 	### Anote si la altura de la medida de dap es diferente de 1,3m		#### placa ${num_tag}, pom no censo anterior: ${old_pom} m		
### Selecione a razão do ponto de medida ser diferente:	### Selecione a razão do ponto de medida ser diferente:	### Select the reason for different measurement point:	### Seleccione la razón del punto de medida diferente:				
### Tipo de medida que será tomada:	### Tipo de medida que será tomada:	### Type of measurement to be taken:	### Tipo de medida que se tomará:				
							
### DAP  em <span style=”color:red”>mm</span>	### DAP  em <span style="color:red">mm</span>	### DBH in <span style="color:red">mm</span>	### DAP en <span style="color:red">mm</span>		#### dap no censo anterior: (${old_dap}) mm  		
### DAP  em <span style=”color:red”>cm </span> :	### DAP  em <span style="color:red">cm </span> :	### DBH in <span style="color:red">cm </span> :	### DAP en <span style="color:red">cm </span> :		#### dap no censo anterior: (${old_dbhcm}) cm  		
### PAP  em <span style=”color:red”>cm </span> :	### PAP  em <span style="color:red">cm </span> :	### PBH in <span style="color:red">cm </span> :	### PAP en <span style="color:red">cm </span> :		#### pap no censo anterior: (${old_papcm}) cm  		
							
							
							
							
							
## Árvore com um fuste?	## Árvore com um fuste?	## Tree with one stem?	## ¿Árbol con un fuste?		### Número de fustes no censo anterior: ${old_nfuste}		
## Confirma que só há um fuste?	## Confirma que só há um fuste?	## Confirm there is only one stem?	## ¿Confirma que solo hay un fuste?		### No censo anterior a planta <span style=”color:red”>${num_tag}</span> tinha ${old_nfuste}		
							
							
###Há inconsistência no valor do dap ou pap, refaça a medida no campo abaixo!	###Há inconsistência no valor do dap ou pap, refaça a medida no campo abaixo!	###There is inconsistency in the dbh or pbh value, redo the measurement in the field below!	###¡Hay inconsistencia en el valor del dap o pap, rehaga la medida en el campo de abajo!		Placa censo anterior: ${tree_tag}		
### O dap medido (${dap_new}) é menor que o critério de inclusão ( ${min_dbh})	### O dap medido (${dap_new}) é menor que o critério de inclusão ( ${min_dbh})	### The measured dbh (${dap_new}) is less than the inclusion criterion ( ${min_dbh})	### El dap medido (${dap_new}) es menor que el criterio de inclusión ( ${min_dbh})				
checagem da DAP, refaça a medida em <span style=”color:red”>mm</span>	checagem da DAP, refaça a medida em <span style="color:red">mm</span>	DBH check, redo measurement in <span style="color:red">mm</span>	verificación del DAP, rehaga la medida en <span style="color:red">mm</span>		#### dap no censo anterior: (${old_dap}) mm  		
checagem de DAP <span style=”color:red”>cm </span> :	checagem de DAP <span style="color:red">cm </span> :	DBH check <span style="color:red">cm </span> :	verificación de DAP <span style="color:red">cm </span> :		#### dap no censo anterior: (${old_dbhcm}) cm  		
checagem de PAP, refaça a medida  em <span style=”color:red”>cm </span> :	checagem de PAP, refaça a medida  em <span style="color:red">cm </span> :	PBH check, redo measurement in <span style="color:red">cm </span> :	verificación de PAP, rehaga la medida en <span style="color:red">cm </span> :		#### pap no censo anterior: (${old_papcm}) cm  		
							
							
### Possível causa da discrepância nas medidas (censo anterior = <span style=”color:red”>${old_dap}</span> mm):	### Possível causa da discrepância nas medidas (censo anterior = <span style="color:red">${old_dap}</span> mm):	### Possible cause of measurement discrepancy (previous census = <span style="color:red">${old_dap}</span> mm):	### Posible causa de la discrepancia en las medidas (censo anterior = <span style="color:red">${old_dap}</span> mm):		### A primeira medida foi <span style=”color:red”>${dap_new}</span> e a checagem foi <span style=”color:red”>${dap_new_check}</span>		
Evidência na discrepância no crescimento:	Evidência na discrepância no crescimento:	Evidence in growth discrepancy:	Evidencia en la discrepancia de crecimiento:		###O dap passou de <span style=”color:red”>${old_dap}</span> para <span style=”color:red”>${dap_new_check}</span>		
### Confirme a remedição de dap (censo anterior = <span style=”color:red”>${old_dap}</span> mm)	### Confirme a remedição de dap (censo anterior = <span style="color:red">${old_dap}</span> mm)	### Confirm dbh remeasurement (previous census = <span style="color:red">${old_dap}</span> mm)	### Confirme la remedición de dap (censo anterior = <span style="color:red">${old_dap}</span> mm)		A medida inicial de <span style=”color:red”>${dap_new}</span> passou para <span style=”color:red”>${dap_new_check}</span>		
### Confirme que a medida de dap é menor que o critério de inclusão.	### Confirme que a medida de dap é menor que o critério de inclusão.	### Confirm that the dbh measurement is less than the inclusion criterion.	### Confirme que la medida de dap es menor que el criterio de inclusión.		### A medida inicial foi <span style=”color:red”>${dap_new}</span> e a checagem <span style=”color:red”>${dap_new_check}</span>		
							
							
							
							
alt_censo	alt_censo	height_census	altura_censo				
							
Selecione o estrato de altura da árvore	Selecione o estrato de altura da árvore	Select the tree height stratum	Seleccione el estrato de altura del árbol				
###Anote a altura da árvore 	###Anote a altura da árvore 	###Record the tree height 	###Anote la altura del árbol				
### se a altura é <span style=”color:red”>até 10m</span> 	### se a altura é <span style="color:red">até 10m</span> 	### if height is <span style="color:red">up to 10m</span> 	### si la altura es <span style="color:red">hasta 10m</span>		#### placa antiga ${tag_old}, altura no censo anterior: ${alt_old} m		
### se a altura é <span style=”color:red”>mais de 10m</span> 	### se a altura é <span style="color:red">mais de 10m</span> 	### if height is <span style="color:red">more than 10m</span> 	### si la altura es <span style="color:red">más de 10m</span>		#### placa antiga ${tag_old}, altura no censo anterior: ${alt_old} m		
							
							
Selecione o método utilizado para tomar a altura:	Selecione o método utilizado para tomar a altura:	Select the method used to measure height:	Seleccione el método utilizado para medir la altura:				
							
### Há inconsistência no valor da altura em relação ao censo anterior! Refaça a medida no campo abaixo:	### Há inconsistência no valor da altura em relação ao censo anterior! Refaça a medida no campo abaixo:	### There is inconsistency in the height value compared to previous census! Redo the measurement in the field below:	### ¡Hay inconsistencia en el valor de la altura respecto al censo anterior! Rehaga la medida en el campo de abajo:		####altura no censo anterior: ${alt_old} m		
Anote a altura se a árvore tem <span style=”color:red”>até 10m</span>   	Anote a altura se a árvore tem <span style="color:red">até 10m</span>   	Record height if tree is <span style="color:red">up to 10m</span>   	Anote la altura si el árbol tiene <span style="color:red">hasta 10m</span>		####placa antiga ${tag_old}, altura no censo anterior: ${alt_old} m		
<span style=”color:red”>mais de 10m</span> 	<span style="color:red">mais de 10m</span> 	<span style="color:red">more than 10m</span> 	<span style="color:red">más de 10m</span>				
							
### Possível causa da discrepância de medidas (censo anterior = <span style=”color:red”>${old_alt}</span>):	### Possível causa da discrepância de medidas (censo anterior = <span style="color:red">${old_alt}</span>):	### Possible cause of measurement discrepancy (previous census = <span style="color:red">${old_alt}</span>):	### Posible causa de la discrepancia de medidas (censo anterior = <span style="color:red">${old_alt}</span>):		### A primeira medida foi <span style=”color:red”>${alt_new}</span> e a checagem <span style=”color:red”>${alt_new_check}</span>		
### Evidência na discrepância de medida (<span style=”color:red”>${old_alt}</span>):	### Evidência na discrepância de medida (<span style="color:red">${old_alt}</span>):	### Evidence in measurement discrepancy (<span style="color:red">${old_alt}</span>):	### Evidencia en la discrepancia de medida (<span style="color:red">${old_alt}</span>):		### A primeira medida foi <span style=”color:red”>${alt_new}</span> e a checagem <span style=”color:red”>${alt_new_check}</span>		
							
### Confirme o valor da altura (censo anterior = <span style=”color:red”>${old_alt}</span>)	### Confirme o valor da altura (censo anterior = <span style="color:red">${old_alt}</span>)	### Confirm the height value (previous census = <span style="color:red">${old_alt}</span>)	### Confirme el valor de la altura (censo anterior = <span style="color:red">${old_alt}</span>)		### A primeira medida foi <span style=”color:red”>${alt_new}</span> e a checagem <span style=”color:red”>${alt_new_check}</span>		
							
							
							
							
### Mapeamento 	### Mapeamento 	### Mapping 	### Mapeo		Selecione a posição:		
							
## selecionado: <span style=”color:red”>${mapxy} </span>	## selecionado: <span style="color:red">${mapxy} </span>	## selected: <span style="color:red">${mapxy} </span>	## seleccionado: <span style="color:red">${mapxy} </span>				
							
							
							
Múltiplos fustes	Múltiplos fustes	Multiple stems	Múltiples fustes				
Fuste número: 	Fuste número: 	Stem number: 	Fuste número: 				
							
### Fuste secundário plaqueado?	### Fuste secundário plaqueado?	### Secondary stem tagged?	### ¿Fuste secundario plaqueado?		Confirme se há placa numerada em  algum fuste secundário:		
### Digite o número da placa do fuste secundário	### Digite o número da placa do fuste secundário	### Enter the secondary stem tag number	### Digite el número de placa del fuste secundario				
Foto da placa do fuste secundário	Foto da placa do fuste secundário	Photo of secondary stem tag	Foto de la placa del fuste secundario		Tire uma foto do fuste secundário, mostrando o número da placa.		
Foto da placa do fuste principal	Foto da placa do fuste principal	Photo of main stem tag	Foto de la placa del fuste principal		Tire uma foto do fuste principal, mostrando o número da placa.		
							
### Anote o fuste em sequência decrescente de tamanho	### Anote o fuste em sequência decrescente de tamanho	### Record stems in decreasing size order	### Anote el fuste en secuencia decreciente de tamaño		### Dap do fuste principal: <span style=”color:red”>${dap_new}</span> mm		
### Anote se a altura da medida de dap for diferente de 1,3m 	### Anote se a altura da medida de dap for diferente de 1,3m 	### Note if the dbh measurement height is different from 1.3m 	### Anote si la altura de la medida de dap es diferente de 1,3m		#### placa antiga ${tag_old}, pom no censo anterior: ${old_pom} m		
### Selecione a razão do ponto de medida ser diferente:	### Selecione a razão do ponto de medida ser diferente:	### Select the reason for different measurement point:	### Seleccione la razón del punto de medida diferente:				
Tipo de medida do fuste que será tomada:	Tipo de medida do fuste que será tomada:	Type of stem measurement to be taken:	Tipo de medida del fuste que se tomará:				
Medida de paquímetro (fuste secundário no. ${mult_fuste_seq}) <span style=”color:red”>mm</span>:	Medida de paquímetro (fuste secundário no. ${mult_fuste_seq}) <span style="color:red">mm</span>:	Caliper measurement (secondary stem no. ${mult_fuste_seq}) <span style="color:red">mm</span>:	Medida de paquímetro (fuste secundario no. ${mult_fuste_seq}) <span style="color:red">mm</span>:				
Medida fita diamétrica (fuste secundário no. ${mult_fuste_seq}) em <span style=”color:red”>cm</span>:	Medida fita diamétrica (fuste secundário no. ${mult_fuste_seq}) em <span style="color:red">cm</span>:	Diametric tape measurement (secondary stem no. ${mult_fuste_seq}) in <span style="color:red">cm</span>:	Medida cinta diamétrica (fuste secundario no. ${mult_fuste_seq}) en <span style="color:red">cm</span>:				
Medida perímetro com fita métrica (fuste secundário no. ${mult_fuste_seq}) em <span style=”color:red”>cm</span>:	Medida perímetro com fita métrica (fuste secundário no. ${mult_fuste_seq}) em <span style="color:red">cm</span>:	Perimeter measurement with metric tape (secondary stem no. ${mult_fuste_seq}) in <span style="color:red">cm</span>:	Medida perímetro con cinta métrica (fuste secundario no. ${mult_fuste_seq}) en <span style="color:red">cm</span>:				
							
Selecione o estrato de altura do fuste	Selecione o estrato de altura do fuste	Select the stem height stratum	Seleccione el estrato de altura del fuste				
###Anote a altura do  fuste no. ${mult_fuste_seq}	###Anote a altura do  fuste no. ${mult_fuste_seq}	###Record the height of stem no. ${mult_fuste_seq}	###Anote la altura del fuste no. ${mult_fuste_seq}				
### se a altura é <span style=”color:red”>até 10m</span> 	### se a altura é <span style="color:red">até 10m</span> 	### if height is <span style="color:red">up to 10m</span> 	### si la altura es <span style="color:red">hasta 10m</span>				
### se a altura é <span style=”color:red”>mais de 10m</span> 	### se a altura é <span style="color:red">mais de 10m</span> 	### if height is <span style="color:red">more than 10m</span> 	### si la altura es <span style="color:red">más de 10m</span>				
							
Selecione o método utilizado para tomar a altura:	Selecione o método utilizado para tomar a altura:	Select the method used to measure height:	Seleccione el método utilizado para medir la altura:				
							
							
							
							
## Selecione o motivo do número de fustes (n = <span style=”color:red”>${new_nfuste} </span>)  ser diferente do censo anterior (n = <span style=”color:red”>${old_nfuste} </span>)	## Selecione o motivo do número de fustes (n = <span style="color:red">${new_nfuste} </span>)  ser diferente do censo anterior (n = <span style="color:red">${old_nfuste} </span>)	## Select the reason why the number of stems (n = <span style="color:red">${new_nfuste} </span>) is different from previous census (n = <span style="color:red">${old_nfuste} </span>)	## Seleccione el motivo del número de fustes (n = <span style="color:red">${new_nfuste} </span>) sea diferente del censo anterior (n = <span style="color:red">${old_nfuste} </span>)				
###${num_tag}: ${old_sp} (${old_fam})	###${num_tag}: ${old_sp} (${old_fam})	###${num_tag}: ${old_sp} (${old_fam})	###${num_tag}: ${old_sp} (${old_fam})		###Confirme Identificação da árvore 		
							
Identificação Botânica	Identificação Botânica	Botanical Identification	Identificación Botánica				
##Selecione uma familia	##Selecione uma familia	##Select a family	##Seleccione una familia				
##Selecione um gênero (${new_fam})	##Selecione um gênero (${new_fam})	##Select a genus (${new_fam})	##Seleccione un género (${new_fam})				
##Selecione uma espécie (${new_gen})	##Selecione uma espécie (${new_gen})	##Select a species (${new_gen})	##Seleccione una especie (${new_gen})				
## Tipo de identificação em campo:	## Tipo de identificação em campo:	## Type of field identification:	## Tipo de identificación en campo:				
Selecione uma das opções da indeterminação da espécie.	Selecione uma das opções da indeterminação da espécie.	Select one of the species indeterminacy options.	Seleccione una de las opciones de indeterminación de la especie.				
${num_tag} é similar a espécie da árvore:	${num_tag} é similar a espécie da árvore:	${num_tag} is similar to tree species:	${num_tag} es similar a la especie del árbol:		Caso tenha algum indivíduo similar nas proximidades digite o número da placa.		
Apelido do morfotipo:	Apelido do morfotipo:	Morphotype nickname:	Apodo del morfotipo:				
Foto do indivíduo ${num_tag}	Foto do indivíduo ${num_tag}	Photo of individual ${num_tag}	Foto del individuo ${num_tag}		Tire uma foto do ramo com folhas, se possível mostrando o número da placa.		
Foto da planta ${num_tag}	Foto da planta ${num_tag}	Plant photo ${num_tag}	Foto de la planta ${num_tag}				
Foto da planta ${num_tag}	Foto da planta ${num_tag}	Plant photo ${num_tag}	Foto de la planta ${num_tag}				
Foto da planta ${num_tag}	Foto da planta ${num_tag}	Plant photo ${num_tag}	Foto de la planta ${num_tag}				
Foto da planta ${num_tag}	Foto da planta ${num_tag}	Plant photo ${num_tag}	Foto de la planta ${num_tag}				
							
							
							
Fita para coleta botânica	Fita para coleta botânica	Tape for botanical collection	Cinta para colección botánica				
