Português	English	Español
apelido do morfotipo…	morphotype nickname…	apodo del morfotipo…
características peculiares (tronco, espinho, latex)	peculiar characteristics (trunk, spine, latex)	características peculiares (tronco, espina, látex)

já coletada	already collected	ya colectada
coletar tesoura	collect with scissors	colectar con tijeras
coletar podão	collect with pole pruner	colectar con podón
coletar escalador	collect with climber	colectar con escalador
sem folhas	without leaves	sin hojas
poucas folhas, tirar foto…	few leaves, take photo…	pocas hojas, tomar foto…
mesma sp da planta coletada: ...	same species as collected plant: ...	misma especie de la planta colectada: ...
apelido do morfotipo…	morphotype nickname…	apodo del morfotipo…
identificação em campo sem coleta, tirar foto...	field identification without collection, take photo...	identificación en campo sin colección, tomar foto...

Morta em pé	Dead standing	Muerta en pie
Tombada	Fallen	Caída
Cortada	Cut	Cortada
Quebrada sem rebroto	Broken without regrowth	Quebrada sin rebrote
Desenraizada	Uprooted	Desarraigada
Placa encontrada solta	Loose tag found	Placa encontrada suelta

O crescimento parece correto! 	Growth appears correct!	¡El crecimiento parece correcto!
Tombada ou Inclinada com rebroto	Fallen or Inclined with regrowth	Caída o Inclinada con rebrote
Quebrada com rebroto	Broken with regrowth	Quebrada con rebrote
Árvore em clareira	Tree in clearing	Árbol en claro
Calo de cicatrização no tronco	Healing callus on trunk	Callo de cicatrización en el tronco
Epifitas e trepadeiras no tronco	Epiphytes and climbers on trunk	Epífitas y trepadoras en el tronco
Provável erro na medida do censo anterior	Probable error in previous census measurement	Probable error en la medida del censo anterior
Erro na tomada da primeira medida	Error in taking first measurement	Error en la toma de la primera medida
Outro tipo de evidência	Other type of evidence	Otro tipo de evidencia
