"tag","quad","dx","dy","gx","gy","fam","gen","epitsp","species","status","data","dap","alt","qindex","subquad","nfuste","arv_key0","arv_key","dbhcm","tagchar"
"43","A00",14.6,10.4,14.6000003814697,10.3999996185303,"Araliaceae","Schefflera","angustissima","Schefflera angustissima","A","2009-03-22","57","8","10x10","A00quad_10x10",1,"arv_43","arv_43.1",5.7,"000043"
"44","A00",8.3,7.7,8.30000019073486,7.69999980926514,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-03-22","83","9","5x5","A00quad_5x5",1,"arv_44","arv_44.1",8.3,"000044"
"45","A00",9.4,10.7,9.39999961853027,10.6999998092651,"Lauraceae","Ocotea","pulchella","Ocotea pulchella","A","2009-03-22","364; 168","5","5x10","A00quad_5x10",2,"arv_45","arv_45.1",36.4,"000045"
"46","A00",17.2,6.6,17.2000007629395,6.59999990463257,"Lauraceae","Nectandra","oppositifolia","Nectandra oppositifolia","A","2009-03-22","194","11.5","15x5","A00quad_15x5",1,"arv_46","arv_46.1",19.4,"000046"
"47","A00",16.7,1.2,16.7000007629395,1.20000004768372,"Araliaceae","Schefflera","angustissima","Schefflera angustissima","A","2009-03-22","96","10","15x0","A00quad_15x0",1,"arv_47","arv_47.1",9.6,"000047"
"48","B00",17.9,1.7,37.8999996185303,1.70000004768372,"Arecaceae","Euterpe","edulis","Euterpe edulis","NE","2009-11-02",NA,NA,"15x0","B00quad_15x0",1,"arv_48","arv_48.1",NA,"000048"
"49","B00",17.7,2.3,37.7000007629395,2.29999995231628,"Clusiaceae","Garcinia","gardneriana","Garcinia gardneriana","A","2009-11-02","174","11","15x0","B00quad_15x0",1,"arv_49","arv_49.1",17.4,"000049"
"50","B00",19.1,3.6,39.1000003814697,3.59999990463257,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-11-02","77","1.5","15x0","B00quad_15x0",1,"arv_50","arv_50.1",7.7,"000050"
"51","B00",9.3,8.8,29.3000001907349,8.80000019073486,"Araliaceae","Schefflera","angustissima","Schefflera angustissima","A","2009-11-02","145","8","5x5","B00quad_5x5",1,"arv_51","arv_51.1",14.5,"000051"
"53","B00",13,7.6,33,7.59999990463257,"Sapotaceae","Manilkara","subsericea","Manilkara subsericea","A","2009-11-02","569","16","10x5","B00quad_10x5",1,"arv_53","arv_53.1",56.9,"000053"
"54","B00",14.6,12.4,34.6000003814697,12.3999996185303,"Anacardiaceae","Tapirira","guianensis","Tapirira guianensis","A","2009-11-02","301","15","10x10","B00quad_10x10",1,"arv_54","arv_54.1",30.1,"000054"
"55","B00",16,12.3,36,12.3000001907349,"Pentaphylacaceae","Ternstroemia","brasiliensis","Ternstroemia brasiliensis","D","2009-11-02",NA,NA,"15x10","B00quad_15x10",1,"arv_55","arv_55.1",NA,"000055"
"56","A00",8.9,4.8,8.89999961853027,4.80000019073486,"Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","A","2009-03-22","251","15.5","5x0","A00quad_5x0",1,"arv_56","arv_56.1",25.1,"000056"
"57","A00",8.8,4.7,8.80000019073486,4.69999980926514,"Myrtaceae","Myrcia","racemosa","Myrcia racemosa","A","2009-03-22","98; 35","9.5","5x0","A00quad_5x0",2,"arv_57","arv_57.1",9.8,"000057"
"59","A00",13.1,9,13.1000003814697,9,"Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","A","2009-03-22","298","16","10x5","A00quad_10x5",1,"arv_59","arv_59.1",29.8,"000059"
"60","A00",17.7,7.6,17.7000007629395,7.59999990463257,"Anacardiaceae","Tapirira","guianensis","Tapirira guianensis","A","2009-03-22","180","12","15x5","A00quad_15x5",1,"arv_60","arv_60.1",18,"000060"
"61","B00",19.7,1.5,39.7000007629395,1.5,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-11-02","59","9","15x0","B00quad_15x0",1,"arv_61","arv_61.1",5.9,"000061"
"62","B00",19,10.9,39,10.8999996185303,"Myrtaceae","Pimenta","pseudocaryophyllus","Pimenta pseudocaryophyllus","A","2009-11-02","166.5","8.5","15x10","B00quad_15x10",1,"arv_62","arv_62.1",16.6,"000062"
"63","B00",18.9,12.1,38.8999996185303,12.1000003814697,"Nyctaginaceae","Guapira","opposita","Guapira opposita","NE","2009-11-02",NA,NA,"15x10","B00quad_15x10",1,"arv_63","arv_63.1",NA,"000063"
"64","B00",16,12.4,36,12.3999996185303,"Clusiaceae","Garcinia","gardneriana","Garcinia gardneriana","A","2009-11-02","101.5","7","15x10","B00quad_15x10",1,"arv_64","arv_64.1",10.2,"000064"
"65","B00",16.2,13.3,36.2000007629395,13.3000001907349,"Arecaceae","Euterpe","edulis","Euterpe edulis","D","2009-11-02",NA,NA,"15x10","B00quad_15x10",1,"arv_65","arv_65.1",NA,"000065"
"66","B00",12.4,9.6,32.3999996185303,9.60000038146973,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-11-02","91","9","10x5","B00quad_10x5",1,"arv_66","arv_66.1",9.1,"000066"
"67","B00",12.1,9.5,32.1000003814697,9.5,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-11-02","71","7.5","10x5","B00quad_10x5",1,"arv_67","arv_67.1",7.1,"000067"
"68","B00",10.5,12.9,30.5,12.8999996185303,"Myrtaceae","Eugenia","umbelliflora","Eugenia umbelliflora","A","2009-11-02","57","7","10x10","B00quad_10x10",1,"arv_68","arv_68.1",5.7,"000068"
"69","B00",10.4,10.2,30.3999996185303,10.1999998092651,"Myrtaceae","Eugenia",NA,NA,"A","2009-11-02",NA,NA,"10x10","B00quad_10x10",1,"arv_69","arv_69.1",NA,"000069"
"70","B00",12.1,12.3,32.1000003814697,12.3000001907349,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-11-02","106","8","10x10","B00quad_10x10",1,"arv_70","arv_70.1",10.6,"000070"
"71","B00",11,12.8,31,12.8000001907349,"Peraceae","Pera","glabrata","Pera glabrata","A","2009-11-02","302","16","10x10","B00quad_10x10",1,"arv_71","arv_71.1",30.2,"000071"
"73","B00",8,10.2,28,10.1999998092651,"Araliaceae","Schefflera","angustissima","Schefflera angustissima","A","2009-11-02","60","12.5","5x10","B00quad_5x10",1,"arv_73","arv_73.1",6,"000073"
"74","B00",7.1,12.2,27.0999999046326,12.1999998092651,"Fabaceae","Andira","anthelmia","Andira anthelmia","A","2009-11-02","135.5","8.5","5x10","B00quad_5x10",1,"arv_74","arv_74.1",13.6,"000074"
"76","B00",4.9,11.7,24.9000000953674,11.6999998092651,"Arecaceae","Euterpe","edulis","Euterpe edulis","NE","2009-11-02",NA,NA,"0x10","B00quad_0x10",1,"arv_76","arv_76.1",NA,"000076"
"77","B00",4.1,10.3,24.0999999046326,10.3000001907349,"Celastraceae","Maytenus","robusta","Maytenus robusta","A","2009-11-02","55; 44.5","8","0x10","B00quad_0x10",2,"arv_77","arv_77.1",5.5,"000077"
"79","B00",1.3,10.2,21.2999999523163,10.1999998092651,"Myrtaceae","Myrcia","brasiliensis","Myrcia brasiliensis","A","2009-11-02","244","15.5","0x10","B00quad_0x10",1,"arv_79","arv_79.1",24.4,"000079"
"80","B00",0.5,8.3,20.5,8.30000019073486,"Lauraceae","Nectandra","oppositifolia","Nectandra oppositifolia","A","2009-11-02","16","2.5","0x5","B00quad_0x5",1,"arv_80","arv_80.1",1.6,"000080"
"81","B00",0.4,8.3,20.4000000059605,8.30000019073486,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-11-02","84","9","0x5","B00quad_0x5",1,"arv_81","arv_81.1",8.4,"000081"
"82","B00",0.4,10.6,20.4000000059605,10.6000003814697,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-11-02","65","4","0x10","B00quad_0x10",1,"arv_82","arv_82.1",6.5,"000082"
"83","B00",2.8,13.1,22.7999999523163,13.1000003814697,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-11-02","50","9","0x10","B00quad_0x10",1,"arv_83","arv_83.1",5,"000083"
"84","B00",2.7,13.2,22.7000000476837,13.1999998092651,"Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","A","2009-11-02","59","7","0x10","B00quad_0x10",1,"arv_84","arv_84.1",5.9,"000084"
"85","B00",8.1,15,28.1000003814697,15,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-11-02","83","9.5","5x15","B00quad_5x15",1,"arv_85","arv_85.1",8.3,"000085"
"88","B00",9.5,13,29.5,13,"Malpighiaceae","Byrsonima","ligustrifolia","Byrsonima ligustrifolia","NE","2009-11-02",NA,NA,"5x10","B00quad_5x10",1,"arv_88","arv_88.1",NA,"000088"
"89","B00",13.7,19.1,33.6999998092651,19.1000003814697,"Arecaceae","Euterpe","edulis","Euterpe edulis","D","2009-11-02",NA,NA,"10x15","B00quad_10x15",1,"arv_89","arv_89.1",NA,"000089"
"92","B00",8.5,8.6,28.5,8.60000038146973,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-11-02","86.5","11","5x5","B00quad_5x5",1,"arv_92","arv_92.1",8.7,"000092"
"93","B00",6.3,9.7,26.3000001907349,9.69999980926514,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-11-02","80","10","5x5","B00quad_5x5",1,"arv_93","arv_93.1",8,"000093"
"94","B00",4.4,6,24.4000000953674,6,"Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","A","2009-11-02","82; 69.5; 76","3.5","0x5","B00quad_0x5",3,"arv_94","arv_94.1",8.2,"000094"
"97","B00",2.7,6.4,22.7000000476837,6.40000009536743,"Clusiaceae","Calophyllum","brasiliense","Calophyllum brasiliense","A","2009-11-02","605","12","0x5","B00quad_0x5",1,"arv_97","arv_97.1",60.5,"000097"
"100","B00",13.3,17.3,33.3000001907349,17.2999992370605,"Myrtaceae","Marlierea","racemosa","Marlierea racemosa","A","2009-11-02","52","4","10x15","B00quad_10x15",1,"arv_100","arv_100.1",5.2,"000100"
"101","B00",3.4,16.6,23.4000000953674,16.6000003814697,"Myrtaceae","Myrcia","brasiliensis","Myrcia brasiliensis","A","2009-11-02","152","13","0x15","B00quad_0x15",1,"arv_101","arv_101.1",15.2,"000101"
"102","B00",2.2,19,22.2000000476837,19,"Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","A","2009-11-02","160; 49.5; 24.5","13","0x15","B00quad_0x15",3,"arv_102","arv_102.1",16,"000102"
"103","B00",0.1,18.6,20.1000000014901,18.6000003814697,"Malpighiaceae","Byrsonima","ligustrifolia","Byrsonima ligustrifolia","A","2009-11-02","62","7","0x15","B00quad_0x15",1,"arv_103","arv_103.1",6.2,"000103"
"104","B00",1.9,16.2,21.8999999761581,16.2000007629395,"Myrtaceae","Myrcia","racemosa","Myrcia racemosa","A","2009-11-02","55","5","0x15","B00quad_0x15",1,"arv_104","arv_104.1",5.5,"000104"
"105","B00",1.2,11.5,21.2000000476837,11.5,"Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","A","2009-11-02","107","11.5","0x10","B00quad_0x10",1,"arv_105","arv_105.1",10.7,"000105"
"106","B00",0.4,18.9,20.4000000059605,18.8999996185303,"Clusiaceae","Calophyllum","brasiliense","Calophyllum brasiliense","A","2009-11-02","68","6.5","0x15","B00quad_0x15",1,"arv_106","arv_106.1",6.8,"000106"
"107","B00",5.1,3.1,25.0999999046326,3.09999990463257,"Rubiaceae","Amaioua","intermedia","Amaioua intermedia","A","2009-11-02","194","10","5x0","B00quad_5x0",1,"arv_107","arv_107.1",19.4,"000107"
"108","C00",1.5,2,41.5,2,"Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana","A","2009-06-04","88","7","0x0","C00quad_0x0",1,"arv_108","arv_108.1",8.8,"000108"
"110","C00",4.7,1.4,44.6999998092651,1.39999997615814,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-06-04","91","9","0x0","C00quad_0x0",1,"arv_110","arv_110.1",9.1,"000110"
"111","C00",2.1,6,42.0999999046326,6,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-06-04","79","10","0x5","C00quad_0x5",1,"arv_111","arv_111.1",7.9,"000111"
"112","C00",4.1,5.8,44.0999999046326,5.80000019073486,"Olacaceae","Heisteria","silvianii","Heisteria silvianii","A","2009-06-04","105","12","0x5","C00quad_0x5",1,"arv_112","arv_112.1",10.5,"000112"
"114","C00",6,6.2,46,6.19999980926514,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-06-04","73","8","5x5","C00quad_5x5",1,"arv_114","arv_114.1",7.3,"000114"
"115","C00",7.3,4.8,47.3000001907349,4.80000019073486,"Lauraceae","Ocotea","pulchella","Ocotea pulchella","A","2009-06-04","335","17","5x0","C00quad_5x0",1,"arv_115","arv_115.1",33.5,"000115"
"116","C00",7,6.9,47,6.90000009536743,"Elaeocarpaceae","Sloanea","guianensis","Sloanea guianensis","A","2009-06-04","293","15","5x5","C00quad_5x5",1,"arv_116","arv_116.1",29.3,"000116"
"117","C00",7.1,6.8,47.0999999046326,6.80000019073486,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-06-04","75","8","5x5","C00quad_5x5",1,"arv_117","arv_117.1",7.5,"000117"
"118","C00",7.3,7,47.3000001907349,7,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-06-04","65","7","5x5","C00quad_5x5",1,"arv_118","arv_118.1",6.5,"000118"
"119","C00",7.8,7.7,47.8000001907349,7.69999980926514,"Arecaceae","Euterpe","edulis","Euterpe edulis","D","2009-06-04",NA,NA,"5x5","C00quad_5x5",1,"arv_119","arv_119.1",NA,"000119"
"120","C00",9.2,6.3,49.1999998092651,6.30000019073486,"Fabaceae","Andira","anthelmia","Andira anthelmia","A","2009-06-04","239","17","5x5","C00quad_5x5",1,"arv_120","arv_120.1",23.9,"000120"
"121","C00",7.1,8.6,47.0999999046326,8.60000038146973,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-06-04","75","8","5x5","C00quad_5x5",1,"arv_121","arv_121.1",7.5,"000121"
"122","C00",8.6,9.8,48.6000003814697,9.80000019073486,"Arecaceae","Euterpe","edulis","Euterpe edulis","D","2009-06-04",NA,NA,"5x5","C00quad_5x5",1,"arv_122","arv_122.1",NA,"000122"
"123","C00",9.7,9.2,49.6999998092651,9.19999980926514,"Arecaceae","Euterpe","edulis","Euterpe edulis","D","2009-06-04",NA,NA,"5x5","C00quad_5x5",1,"arv_123","arv_123.1",NA,"000123"
"124","C00",12,7.6,52,7.59999990463257,"Rubiaceae","Amaioua","intermedia","Amaioua intermedia","A","2009-06-04","66","10","10x5","C00quad_10x5",1,"arv_124","arv_124.1",6.6,"000124"
"125","C00",7.6,12.3,47.5999999046326,12.3000001907349,"Myrtaceae","Myrcia","racemosa","Myrcia racemosa","A","2009-06-04","86; 27","8","5x10","C00quad_5x10",2,"arv_125","arv_125.1",8.6,"000125"
"126","C00",8.3,12.8,48.3000001907349,12.8000001907349,"Lauraceae","Ocotea","pulchella","Ocotea pulchella","D","2009-06-04",NA,NA,"5x10","C00quad_5x10",1,"arv_126","arv_126.1",NA,"000126"
"127","C00",11.5,12.4,51.5,12.3999996185303,"Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","A","2009-06-04","57; 38; 25; 29; 16; 32; 25; 20; 10","8","10x10","C00quad_10x10",9,"arv_127","arv_127.1",5.7,"000127"
"128","C00",14.1,12.5,54.1000003814697,12.5,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-06-04","96","8","10x10","C00quad_10x10",1,"arv_128","arv_128.1",9.6,"000128"
"129","C00",9.7,12.6,49.6999998092651,12.6000003814697,"Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","A","2009-06-04","119","8","5x10","C00quad_5x10",1,"arv_129","arv_129.1",11.9,"000129"
"130","C00",7.2,14.4,47.1999998092651,14.3999996185303,"Clusiaceae","Calophyllum","brasiliense","Calophyllum brasiliense","A","2009-06-04","590","16","5x10","C00quad_5x10",1,"arv_130","arv_130.1",59,"000130"
"131","C00",6.8,17,46.8000001907349,17,"Rubiaceae","Amaioua","intermedia","Amaioua intermedia","A","2009-06-04","93","9","5x15","C00quad_5x15",1,"arv_131","arv_131.1",9.3,"000131"
"132","C00",6,18,46,18,"Clusiaceae","Calophyllum","brasiliense","Calophyllum brasiliense","A","2009-06-04","830","17","5x15","C00quad_5x15",1,"arv_132","arv_132.1",83,"000132"
"133","C00",7.6,18,47.5999999046326,18,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-06-04","86","8","5x15","C00quad_5x15",1,"arv_133","arv_133.1",8.6,"000133"
"134","C00",7.5,14.4,47.5,14.3999996185303,"Araliaceae","Schefflera","angustissima","Schefflera angustissima","A","2009-06-04","118","10","5x10","C00quad_5x10",1,"arv_134","arv_134.1",11.8,"000134"
"135","C00",15.2,16.4,55.1999998092651,16.3999996185303,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-06-04","76","12","15x15","C00quad_15x15",1,"arv_135","arv_135.1",7.6,"000135"
"136","C00",14.7,16.7,54.6999998092651,16.7000007629395,"Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana","A","2009-06-04","83; 54","7","10x15","C00quad_10x15",2,"arv_136","arv_136.1",8.3,"000136"
"137","C00",15.9,15.8,55.8999996185303,15.8000001907349,"Myrtaceae","Myrcia","racemosa","Myrcia racemosa","A","2009-06-04","59","10","15x15","C00quad_15x15",1,"arv_137","arv_137.1",5.9,"000137"
"139","C00",5.6,10.7,45.5999999046326,10.6999998092651,"Arecaceae","Euterpe","edulis","Euterpe edulis","D","2009-06-04",NA,NA,"5x10","C00quad_5x10",1,"arv_139","arv_139.1",NA,"000139"
"140","C00",18.7,16.4,58.7000007629395,16.3999996185303,"Myrtaceae","Psidium","cattleyanum","Psidium cattleyanum","A","2009-06-04","280; 192","14","15x15","C00quad_15x15",2,"arv_140","arv_140.1",28,"000140"
"141","C00",17.7,10,57.7000007629395,10,"Clusiaceae","Garcinia","gardneriana","Garcinia gardneriana","A","2009-06-04","68","8","15x10","C00quad_15x10",1,"arv_141","arv_141.1",6.8,"000141"
"142","C00",19,11.6,59,11.6000003814697,"Arecaceae","Euterpe","edulis","Euterpe edulis","D","2009-06-04",NA,NA,"15x10","C00quad_15x10",1,"arv_142","arv_142.1",NA,"000142"
"143","C00",11.7,4.2,51.6999998092651,4.19999980926514,"Myrtaceae","Myrcia","racemosa","Myrcia racemosa","A","2009-06-04","59; 25","7","10x0","C00quad_10x0",2,"arv_143","arv_143.1",5.9,"000143"
"144","C00",19.6,11.6,59.6000003814697,11.6000003814697,"Arecaceae","Euterpe","edulis","Euterpe edulis","D","2009-06-04",NA,NA,"15x10","C00quad_15x10",1,"arv_144","arv_144.1",NA,"000144"
"145","C00",19.6,11.4,59.6000003814697,11.3999996185303,"Arecaceae","Euterpe","edulis","Euterpe edulis","D","2009-06-04",NA,NA,"15x10","C00quad_15x10",1,"arv_145","arv_145.1",NA,"000145"
"146","C00",14.1,2.3,54.1000003814697,2.29999995231628,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-06-04","82","10","10x0","C00quad_10x0",1,"arv_146","arv_146.1",8.2,"000146"
"147","C00",14.6,2.4,54.6000003814697,2.40000009536743,"Clusiaceae","Calophyllum","brasiliense","Calophyllum brasiliense","A","2009-06-04","281","13","10x0","C00quad_10x0",1,"arv_147","arv_147.1",28.1,"000147"
"148","C00",11.6,3.5,51.6000003814697,3.5,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-06-04","86","10","10x0","C00quad_10x0",1,"arv_148","arv_148.1",8.6,"000148"
"149","C00",11,3.4,51,3.40000009536743,"Arecaceae","Euterpe","edulis","Euterpe edulis","D","2009-06-04",NA,NA,"10x0","C00quad_10x0",1,"arv_149","arv_149.1",NA,"000149"
"150","C00",10.4,2.6,50.3999996185303,2.59999990463257,"Sapotaceae","Pouteria","beaurepairei","Pouteria beaurepairei","A","2009-06-04","225","11","10x0","C00quad_10x0",1,"arv_150","arv_150.1",22.5,"000150"
